Gene,Function,Disease,Types_of_alterations,Targeted_therapy,MRD_Marker_status,CHIP_status,ELN_2022_RISK
ABL1,non-receptor tyrosine kinase,Acute Myeloid Leukemia,"Fusions, Kinase domain mutations","Tyrosine kinase inhibitors: Imatinib, Dasatinib, nilotinib, Ponatinib, Bosutinib, Asciminib",Yes,No,Adverse
ABL2,non-receptor tyrosine kinase,Acute Lymphoblastic Leukemia,Fusions,"Tyrosine kinase inhibitors: Imatinib, Dasatinib, nilotinib, Ponatinib, Bosutinib",Yes,No,
ANKRD26,ankyrin repeat domain protein that is involved in regulation of megakaryopoiesis,Acute Myeloid Leukemia,Mutations and Copy number gain,No,No,No,Intermediate
ASXL1,tumor suppressor and epigenetic regulator,Acute Myeloid Leukemia,Mutations,No,No,Yes,Adverse
ASXL2,tumor suppressor and epigenetic regulator,Acute Myeloid Leukemia,Mutations,No,No,Yes,Adverse
BCR/ABL1,chimeric fusion,Acute Myeloid Leukemia,Fusion,Tyrosine kinase inhibitors effect unknown,Yes,No,Adverse
BCOR,transcriptional repressor,Acute Myeloid Leukemia,Mutations,No,Yes,Yes,Adverse
BCL2,anti-apoptotic protein,NHL,Fusion,No,Yes,No,
CALR,"calreticulin, is a calcium-binding protein: molecular chaperone ",Myeloproliferative Neoplasm,Mutations,No,Yes,No,
CBL,tumor suppressor and ubiquitin ligase,Acute Myeloid Leukemia,Mutations,No,Yes,Yes,Intermediate
CCND1,cell cycle regulator,Mantle Cell Lymphoma,Fusion,No,Yes,No,
CSF3R,transmembrane receptor for cytokine colony-stimulating factor 3,Acute Myeloid Leukemia,Mutations,Yes: Proximal membrane: Ruxolitinib; Distal membrane: Dasatinib,Yes,Yes,Intermediate
CBFB/MYH11,chimeric fusion: core binding factor AML,Acute Myeloid Leukemia,Fusion,Gemtuzumab Ozogamicin,Yes,No,Favorable
CEBPA,tumor suppressor and transcription factor,Acute Myeloid Leukemia,Mutations,No,Yes,No,Favorable
CREBBP,tumor suppressor and transcriptional co-activator,Acute Myeloid Leukemia,Fusion,No,Yes,No,Adverse
DDX41,RNA helicase involved in innate immunity,Acute Myeloid Leukemia,Mutations,No,Yes*,No,Intermediate
DNMT3A,tumor suppressor and DNA methyltransferase,Acute Myeloid Leukemia,Mutations,No,No,Yes,
ETV6,transcription factor,Acute Myeloid Leukemia,Mutation,No,Yes,No,Intermediate
ETV6,transcription factor,Acute Myeloid Leukemia,Fusion,Yes,Yes,No,Intermediate
EZH2,Polycomb repressive complex 2 ,Acute Myeloid Leukemia,Mutations,Yes: Tazmetostat,Yes,No,Adverse
FGFR1, receptor tyrosine kinase,Acute Myeloid Leukemia,Fusion,Yes: Ponatinib,Yes,No,Intermediate
FGFR2, receptor tyrosine kinase,Acute Myeloid Leukemia,Fusion,Yes: Ponatinib,Yes,No,Intermediate
FUS,RNA-binding protein,Acute Myeloid Leukemia,Fusion,No,Yes,No,Intermediate
FLT3-ITD,receptor tyrosine kinase,Acute Myeloid Leukemia,Mutations,"Yes: Midostaurin, giltertinib, sorafenib",Yes,Yes,Intermediate
FLT3-TKD,receptor tyrosine kinase,Acute Myeloid Leukemia,Mutations,"Yes: Midostaurin, giltertinib, sorafenib",Yes,Yes,Intermediate
GATA2,transcription factor involved in red blood cell and platelet development,Acute Myeloid Leukemia,Mutations,No,Yes*,No,Intermediate
HMGA2,chromatin remodeling protein,Acute Myeloid Leukemia,Fusion,No,Yes,No,Intermediate
HRAS,membrane-associated GTPase,Acute Myeloid Leukemia,Mutations,No,Yes,No,Intermediate
IDH1,cell metabolism enzyme,Acute Myeloid Leukemia,Mutations,Yes: Ivosidenib,Yes,Yes,Intermediate
IDH2,cell metabolism enzyme,Acute Myeloid Leukemia,Mutations,Yes: Enasidenib,Yes,Yes,Intermediate
IKZF1,transcription factor involved in lymphocyte development,Acute Lymphoblastic Leukemia,Deletion,No,No,No,
JAK2,non-receptor tyrosine kinase,Acute Myeloid Leukemia,Mutation,Yes: Ruxolitinib,Yes,Yes,Intermediate
JAK2,non-receptor tyrosine kinase,Acute Myeloid Leukemia,Fusion,Yes: Ruxolitinib,Yes,No,Intermediate
KAT6A,histone acetyltransferase,Acute Myeloid Leukemia,Fusion,No,Yes,No,Adverse
KAT6B,histone acetyltransferase,Acute Myeloid Leukemia,Fusion,No,Yes,No,Adverse
KIT,receptor tyrosine kinase,Acute Myeloid Leukemia,Mutation,"Yes: Sorafenib, Avapritinib, Imatinib, Nilotinib, ",Yes,No,Intermediate
KMT2A -R,histone methyltransferase,Acute Myeloid Leukemia,Fusion,No,Yes,No,Adverse
KMT2A-PTD,histone methyltransferase,Acute Myeloid Leukemia,Partial Tandem Duplication,No,Yes,No,Adverse
KRAS,,Acute Myeloid Leukemia,,,,,
MECOM,,Acute Myeloid Leukemia,,,,,
MET,,Acute Myeloid Leukemia,,,,,
MLLT10,,Acute Myeloid Leukemia,,,,,
MPL,,Acute Myeloid Leukemia,,,,,
MTRFA/MKL1,,Acute Myeloid Leukemia,,,,,
MYBL1,,Acute Myeloid Leukemia,,,,,
MYD88,,Acute Myeloid Leukemia,,,,,
NF1,,Acute Myeloid Leukemia,,,,,
NPM1,,Acute Myeloid Leukemia,,,,,
NRAS,,Acute Myeloid Leukemia,,,,,
NTRK2,,Acute Myeloid Leukemia,,,,,
NTRK3,,Acute Myeloid Leukemia,,,,,
NUP214,,Acute Myeloid Leukemia,,,,,
NUP98,,Acute Myeloid Leukemia,,,,,
PAX5,,Acute Myeloid Leukemia,,,,,
PDGFRA,,Acute Myeloid Leukemia,,,,,
PDGFRB,,Acute Myeloid Leukemia,,,,,
PHF6,,Acute Myeloid Leukemia,,,,,
PML/RARA,,Acute Myeloid Leukemia,,,,,
PPM1D,,Acute Myeloid Leukemia,,,,,
PRPF8,,Acute Myeloid Leukemia,,,,,
PTPN11,,Acute Myeloid Leukemia,,,,,
RAD21,,Acute Myeloid Leukemia,,,,,
RARA,,Acute Myeloid Leukemia,,,,,
RB1,,Acute Myeloid Leukemia,,,,,
RUNX1,,Acute Myeloid Leukemia,,,,,
RUNX1/RUNX1T1,,Acute Myeloid Leukemia,,,,,
SETBP1,,Acute Myeloid Leukemia,,,,,
SF3B1,,Acute Myeloid Leukemia,,,,,
SH2B3,,Acute Myeloid Leukemia,,,,,
SMC1A,,Acute Myeloid Leukemia,,,,,
SMC3,,Acute Myeloid Leukemia,,,,,
SRSF2,,Acute Myeloid Leukemia,,,,,
STAG2,,Acute Myeloid Leukemia,,,,,
TCF3,,Acute Myeloid Leukemia,,,,,
TFE3,,Acute Myeloid Leukemia,,,,,
TET2,,Acute Myeloid Leukemia,,,,,
TP53,,Acute Myeloid Leukemia,,,,,
U2AF1,,Acute Myeloid Leukemia,,,,,
WT1,,Acute Myeloid Leukemia,,,,,
ZRSR2,,Acute Myeloid Leukemia,,,,,
ZNF384,,Acute Myeloid Leukemia,,,,,